numero,fecha,precio
458,2014.805479452055,378.9
459,2014.8082191780823,355.8
460,2014.8109589041096,355.1
461,2014.813698630137,346.7
462,2014.8164383561643,348.7
463,2014.8191780821917,350.1
464,2014.8219178082193,351.1
465,2014.8246575342466,335.1
466,2014.827397260274,344.9
467,2014.8301369863013,337.9
468,2014.8328767123287,325.4
469,2014.835616438356,322.5
470,2014.8383561643836,324.2
471,2014.841095890411,328.0
472,2014.8438356164384,338.0
473,2014.8465753424657,347.7
474,2014.849315068493,341.9
475,2014.8520547945207,343.5
476,2014.854794520548,362.0
477,2014.8575342465754,367.1
478,2014.8602739726027,365.4
479,2014.86301369863,432.0
480,2014.8657534246574,428.7
481,2014.868493150685,396.5
482,2014.8712328767124,374.9
483,2014.8739726027397,385.6
484,2014.876712328767,384.7
485,2014.8794520547945,379.2
486,2014.8821917808218,381.4
487,2014.8849315068494,357.3
488,2014.8876712328768,351.8
489,2014.890410958904,352.0
490,2014.8931506849315,365.9
491,2014.8958904109588,378.9
492,2014.8986301369864,376.4
493,2014.9013698630138,365.4
494,2014.9041095890411,368.8
495,2014.9068493150685,377.6
496,2014.9095890410958,376.3
497,2014.9123287671232,374.9
498,2014.9150684931508,378.6
499,2014.9178082191781,380.6
500,2014.9205479452055,377.0
501,2014.9232876712329,369.8
502,2014.9260273972602,377.6
503,2014.9287671232876,376.3
504,2014.9315068493152,376.5
505,2014.9342465753425,365.0
506,2014.9369863013699,352.2
507,2014.9397260273972,347.9
508,2014.9424657534246,347.7
509,2014.945205479452,353.4
510,2014.9479452054795,348.2
511,2014.9506849315069,349.4
512,2014.9534246575342,345.4
513,2014.9561643835616,330.2
514,2014.958904109589,320.0
515,2014.9616438356165,310.3
516,2014.964383561644,317.8
517,2014.9671232876713,330.4
518,2014.9698630136986,322.6
519,2014.972602739726,330.8
520,2014.9753424657533,335.3
521,2014.978082191781,322.4
522,2014.9808219178083,319.0
523,2014.9835616438356,330.0
524,2014.986301369863,315.3
525,2014.9890410958903,316.5
526,2014.9917808219177,314.1
527,2014.9945205479453,311.3
528,2014.9972602739726,318.2
529,2015.0,314.9
530,2015.0027397260274,315.2
531,2015.0054794520547,287.1
532,2015.0082191780823,264.7
533,2015.0109589041097,274.8
534,2015.013698630137,282.3
535,2015.0164383561644,291.3
536,2015.0191780821917,282.7
537,2015.021917808219,288.0
538,2015.0246575342467,273.4
539,2015.027397260274,264.8
540,2015.0301369863014,269.3
541,2015.0328767123287,221.3
542,2015.035616438356,164.9
543,2015.0383561643835,209.8
544,2015.041095890411,206.9
545,2015.0438356164384,199.6
546,2015.0465753424658,210.6
547,2015.0493150684931,215.9
548,2015.0520547945205,210.6
549,2015.054794520548,228.2
550,2015.0575342465754,232.7
551,2015.0602739726028,232.2
552,2015.0630136986301,248.2
553,2015.0657534246575,252.1
554,2015.0684931506848,269.2
555,2015.0712328767124,263.3
556,2015.0739726027398,236.2
557,2015.0767123287671,234.0
558,2015.0794520547945,231.8
559,2015.0821917808219,218.5
560,2015.0849315068492,225.3
561,2015.0876712328768,238.9
562,2015.0904109589042,227.4
563,2015.0931506849315,226.6
564,2015.0958904109589,216.5
565,2015.0986301369862,223.0
566,2015.1013698630136,227.7
567,2015.1041095890412,223.7
568,2015.1068493150685,220.3
569,2015.109589041096,219.7
570,2015.1123287671232,218.8
571,2015.1150684931506,221.8
572,2015.1178082191782,236.2
573,2015.1205479452055,258.6
574,2015.123287671233,233.3
575,2015.1260273972603,235.8
576,2015.1287671232876,243.2
577,2015.131506849315,235.2
578,2015.1342465753426,241.9
579,2015.13698630137,244.5
580,2015.1397260273973,244.4
581,2015.1424657534246,235.7
582,2015.145205479452,238.8
583,2015.1479452054793,238.9
584,2015.150684931507,237.3
585,2015.1534246575343,236.5
586,2015.1561643835616,253.5
587,2015.158904109589,254.1
588,2015.1616438356164,257.9
589,2015.164383561644,273.8
590,2015.1671232876713,280.6
591,2015.1698630136987,271.9
592,2015.172602739726,275.2
593,2015.1753424657534,272.6
594,2015.1780821917807,274.9
595,2015.1808219178083,274.5
596,2015.1835616438357,290.0
597,2015.186301369863,291.4
598,2015.1890410958904,295.6
599,2015.1917808219177,293.9
600,2015.194520547945,287.2
601,2015.1972602739727,281.6
602,2015.2,284.9
603,2015.2027397260274,290.4
604,2015.2054794520548,285.4
605,2015.2082191780821,255.9
606,2015.2109589041097,260.9
607,2015.213698630137,261.8
608,2015.2164383561644,259.7
609,2015.2191780821918,268.6
610,2015.2219178082191,265.5
611,2015.2246575342465,246.7
612,2015.227397260274,246.4
613,2015.2301369863014,248.0
614,2015.2328767123288,247.2
615,2015.2356164383561,252.0
616,2015.2383561643835,242.1
617,2015.2410958904109,246.8
618,2015.2438356164384,244.1
619,2015.2465753424658,246.2
620,2015.2493150684932,252.6
621,2015.2520547945205,254.5
622,2015.2547945205479,252.9
623,2015.2575342465752,259.6
624,2015.2602739726028,255.0
625,2015.2630136986302,253.0
626,2015.2657534246575,244.6
627,2015.268493150685,243.3
628,2015.2712328767122,234.7
629,2015.2739726027398,236.5
630,2015.2767123287672,235.9
631,2015.2794520547945,223.6
632,2015.282191780822,218.0
633,2015.2849315068493,223.0
634,2015.2876712328766,228.0
635,2015.2904109589042,222.6
636,2015.2931506849316,223.4
637,2015.295890410959,223.0
638,2015.2986301369863,224.2
639,2015.3013698630136,233.7
640,2015.304109589041,233.8
641,2015.3068493150686,235.4
642,2015.309589041096,231.1
643,2015.3123287671233,226.1
644,2015.3150684931506,218.7
645,2015.317808219178,229.0
646,2015.3205479452056,225.8
647,2015.323287671233,225.4
648,2015.3260273972603,235.8
649,2015.3287671232877,233.2
650,2015.331506849315,235.3
651,2015.3342465753424,240.0
652,2015.33698630137,239.0
653,2015.3397260273973,235.8
654,2015.3424657534247,230.0
655,2015.345205479452,237.7
656,2015.3479452054794,243.7
657,2015.3506849315067,241.4
658,2015.3534246575343,240.0
659,2015.3561643835617,241.8
660,2015.358904109589,241.6
661,2015.3616438356164,236.4
662,2015.3643835616438,236.9
663,2015.3671232876711,237.2
664,2015.3698630136987,236.2
665,2015.372602739726,236.3
666,2015.3753424657534,232.6
667,2015.3780821917808,232.0
668,2015.3808219178081,234.0
669,2015.3835616438357,235.4
670,2015.386301369863,240.4
671,2015.3890410958904,238.9
672,2015.3917808219178,241.0
673,2015.3945205479451,237.4
674,2015.3972602739725,237.8
675,2015.4,237.3
676,2015.4027397260274,237.3
677,2015.4054794520548,237.0
678,2015.4082191780822,233.2
679,2015.4109589041095,229.8
680,2015.4136986301369,223.1
681,2015.4164383561645,225.7
682,2015.4191780821918,225.6
683,2015.4219178082192,224.2
684,2015.4246575342465,225.3
